Parameters: min_rule_covered=8.0; induction_measure=BinaryEntropy; pruning_measure=BinaryEntropy; voting_measure=C2; 
Dataset, time started, elapsed[s], time_total_s,time_growing_s,time_pruning_s,#rules,#conditions_per_rule,#induced_conditions_per_rule,avg_rule_coverage,avg_rule_precision,avg_rule_quality,avg_pvalue,avg_FDR_pvalue,avg_FWER_pvalue,fraction_0.05_significant,fraction_0.05_FDR_significant,fraction_0.05_FWER_significant,accuracy,classification_error,kappa,balanced_accuracy,#rules_per_example,#voting_conflicts,#negative_voting_conflicts,cross-entropy,margin,soft_margin_loss,logistic_loss,precision,sensitivity,specificity,negative_predictive_value,fallout,youden,geometric_mean,psep,lift,f_measure,false_positive,false_negative,true_positive,true_negative,
seismic-bumps-test-0.arff,2019.06.06_00.21.05,0.018557111,4.652471038, 3.7594824420000004, 0.886102972, 19.0, 5.052631578947368, 132.6315789473684, 0.20226727610082817, 0.40999561946365204, 0.15447716429540168, 0.10922149523527148, 0.11274902746243362, 0.171731286039505, 0.8947368421052632, 0.8947368421052632, 0.7894736842105263, 0.6705426356589147, 0.3294573643410853, 0.09507303788066337, 0.6808477237048666, 3.9651162790697674, 224.0, 84.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.1, 0.6923076923076923, 0.6693877551020408, 0.9761904761904762, 0.3306122448979592, 0.36169544740973314, 0.6807512702843239, 0.0761904761904762, 1.9846153846153844, 0.17475728155339806, 81.0, 4.0, 9.0, 164.0, 
seismic-bumps-test-1.arff,2019.06.06_00.21.05,0.020563227,3.345705453, 2.4744368769999996, 0.863911247, 16.0, 4.9375, 142.5, 0.2345698924731183, 0.4085854154805486, 0.15594348846910377, 0.12500595983858465, 0.1291735045218777, 0.18751817962409142, 0.875, 0.875, 0.875, 0.4864864864864865, 0.5135135135135135, 0.05807880561100328, 0.5907692307692307, 3.776061776061776, 214.0, 128.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.125, 0.72, 0.46153846153846156, 0.9391304347826087, 0.5384615384615384, 0.18153846153846154, 0.5764613536983136, 0.0641304347826087, 1.295, 0.21301775147928995, 126.0, 7.0, 18.0, 108.0, 
seismic-bumps-test-2.arff,2019.06.06_00.21.05,0.02013258,5.650245109, 4.243150616000001, 1.4018638799999998, 15.0, 3.8, 222.6, 0.25365434221840066, 0.6464514844519786, 0.26378395138027666, 0.13333347696426953, 0.13809540429967146, 0.20000043533992523, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.5891472868217055, 0.4108527131782945, 0.10027635215159894, 0.6763888888888889, 3.744186046511628, 254.0, 105.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.1206896551724138, 0.7777777777777778, 0.575, 0.971830985915493, 0.425, 0.3527777777777778, 0.6687467549246293, 0.09252064108790675, 1.7298850574712643, 0.208955223880597, 102.0, 4.0, 14.0, 138.0, 
seismic-bumps-test-3.arff,2019.06.06_00.21.05,0.025321285,5.968651814, 4.452464539, 1.510608982, 17.0, 2.823529411764706, 226.23529411764707, 0.27332068311195445, 0.6533250322847689, 0.28967903546111184, 0.11764775980854465, 0.12132432409963279, 0.17647269414703234, 0.8823529411764706, 0.8823529411764706, 0.8823529411764706, 0.61003861003861, 0.38996138996138996, 0.11842415664071725, 0.6926535087719299, 4.72972972972973, 237.0, 100.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.13392857142857142, 0.7894736842105263, 0.5958333333333333, 0.9727891156462585, 0.4041666666666667, 0.38530701754385965, 0.6858532910485341, 0.10671768707482993, 1.825657894736842, 0.22900763358778625, 97.0, 4.0, 15.0, 143.0, 
seismic-bumps-test-4.arff,2019.06.06_00.21.05,0.017140298,4.188642927, 3.1439596969999997, 1.038212858, 18.0, 4.555555555555555, 155.83333333333334, 0.20108436037068877, 0.46242450884889497, 0.18806865909759946, 0.11112556809838292, 0.11439546242313038, 0.16671146784779356, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.5077519379844961, 0.49224806201550386, 0.06622969506982049, 0.650051652892562, 3.562015503875969, 221.0, 125.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.0948905109489051, 0.8125, 0.48760330578512395, 0.9752066115702479, 0.512396694214876, 0.30010330578512395, 0.6294264738239195, 0.07009712251915304, 1.5301094890510947, 0.16993464052287582, 124.0, 3.0, 13.0, 118.0, 
seismic-bumps-test-5.arff,2019.06.06_00.21.05,0.016536026,4.812739244, 3.6222710989999993, 1.1836197259999999, 19.0, 3.526315789473684, 167.0, 0.24718287550346205, 0.41210193114178145, 0.16158789300866305, 0.1053796983180058, 0.10831779207467247, 0.15825017762122803, 0.8947368421052632, 0.8947368421052632, 0.8947368421052632, 0.41472868217054265, 0.5852713178294573, 0.027557286206380135, 0.5712809917355373, 4.825581395348837, 223.0, 147.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.07547169811320754, 0.75, 0.3925619834710744, 0.9595959595959596, 0.6074380165289256, 0.14256198347107438, 0.5426061993778782, 0.035067657709167144, 1.2169811320754718, 0.13714285714285715, 147.0, 4.0, 12.0, 95.0, 
seismic-bumps-test-6.arff,2019.06.06_00.21.05,0.016939302,3.206970388, 2.5191842629999996, 0.6824819529999999, 14.0, 4.642857142857143, 137.35714285714286, 0.2580030721966206, 0.4212270682372638, 0.11044565919947909, 0.2143632401631199, 0.2317836509970284, 0.42888153218580605, 0.7857142857142857, 0.7857142857142857, 0.7857142857142857, 0.4247104247104247, 0.5752895752895753, 0.04650013589306444, 0.6587381916329285, 3.548262548262548, 245.0, 148.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.06918238993710692, 0.9166666666666666, 0.4008097165991903, 0.99, 0.5991902834008097, 0.317476383265857, 0.6061426456557821, 0.059182389937106915, 1.4931865828092243, 0.1286549707602339, 148.0, 1.0, 11.0, 99.0, 
seismic-bumps-test-7.arff,2019.06.06_00.21.05,0.016802026,4.61317793, 3.251245215000001, 1.356196189, 16.0, 4.0, 208.25, 0.26469797936371453, 0.5757185965384356, 0.20491343955555577, 0.18875606381390944, 0.20214710341592285, 0.38008215490114616, 0.8125, 0.8125, 0.75, 0.49612403100775193, 0.5038759689922481, 0.06755629691409511, 0.6482792287039296, 4.096899224806202, 229.0, 130.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.09929078014184398, 0.8235294117647058, 0.4730290456431535, 0.9743589743589743, 0.5269709543568465, 0.2965584574078594, 0.6241420765387689, 0.07364975450081833, 1.506883604505632, 0.17721518987341772, 127.0, 3.0, 14.0, 114.0, 
seismic-bumps-test-8.arff,2019.06.06_00.21.05,0.016876437,3.631046093, 2.773408501999999, 0.852133705, 15.0, 4.733333333333333, 151.4, 0.22580645161290322, 0.37402310797957583, 0.13688541331019344, 0.13410070771061397, 0.13898323550362598, 0.20232779846810225, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.4594594594594595, 0.5405405405405406, 0.061594202898550846, 0.6190476190476191, 3.370656370656371, 252.0, 140.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.1111111111111111, 0.8095238095238095, 0.42857142857142855, 0.9622641509433962, 0.5714285714285714, 0.23809523809523808, 0.5890150893739515, 0.07337526205450734, 1.3703703703703702, 0.19540229885057472, 136.0, 4.0, 17.0, 102.0, 
seismic-bumps-test-9.arff,2019.06.06_00.21.05,0.018066593,4.052335216, 3.1430594850000007, 0.9025286630000002, 18.0, 4.611111111111111, 147.72222222222223, 0.20827362185917644, 0.4579728139166389, 0.18045607621441298, 0.11236075840113563, 0.11579282639798559, 0.17052022005627074, 0.8888888888888888, 0.8888888888888888, 0.8333333333333334, 0.4844961240310077, 0.5155038759689923, 0.04241781548250263, 0.619309262166405, 3.7286821705426356, 249.0, 131.0, Infinity, 0.0, 1.0, 0.6931471805599466, 0.07142857142857142, 0.7692307692307693, 0.46938775510204084, 0.9745762711864406, 0.5306122448979592, 0.23861852433281006, 0.6008889281095524, 0.04600484261501211, 1.4175824175824177, 0.13071895424836602, 130.0, 3.0, 10.0, 115.0, 
